 Written on 17Oct2022 at 16:46:58 
          26
          64
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1
    0    0    0    1    1 -117.831368    0.000000
    0    0    0   23   17   -0.000707   -0.000000
    0    0    0   24   17   -0.000797    0.000000
    0    0    0   25   17   -0.000000   -0.000000
    0    0    0   26   17   -0.012356   -0.000000
    0    0    0    1   18    0.000000    0.000000
    0    0    0    2   18   -0.000000    0.000000
    0    0    0    3   18   -0.078219   -0.000000
    0    0    0    4   18   -0.000000   -0.000000
    0    0    0    5   18    0.000000   -0.000000
    0    0    0    6   18   -0.033297    0.000000
    0    0    0    7   18    0.000000    0.000000
    0    0    0    8   18   -0.000000   -0.000000
    0    0    0    9   18    0.012349    0.000000
    0    0    0   10   18   -0.000000   -0.000000
    0    0    0   11   18    0.000000    0.000000
    0    0    0   12   18    1.340162   -0.000000
    0    0    0   13   18    0.000000   -0.000000
    0    0    0   14   18   -0.000000    0.000000
    0    0    0   15   18   -0.114020    0.000000
    0    0    0   16   18   -0.000000   -0.000000
    0    0    0   17   18    0.000000   -0.000000
    0    0    0   18   18    0.032279   -0.000000
    0    0    0   19   18    0.000000    0.000000
    0    0    0   20   18    0.000000    0.000000
    0    0    0   21   18   -0.545687    0.000000
    0    0    0   22   18    0.000000    0.000000
    0    0    0   23   18   -0.000000   -0.000000
    0    0    0   24   18   -0.000000   -0.000000
    0    0    0   25   18   -0.013355    0.000000
    0    0    0   26   18   -0.000000   -0.000000
    0    0    0    1   19    4.715693    0.000000
    0    0    0    2   19    5.375706    0.000000
    0    0    0    3   19    0.000000   -0.000000
    0    0    0    4   19   -0.000773   -0.000000
    0    0    0    5   19   -1.601460    0.000000
    0    0    0    6   19    0.000000    0.000000
    0    0    0    7   19    0.000272    0.000000
    0    0    0    8   19    0.000482    0.000000
    0    0    0    9   19   -0.000000    0.000000
    0    0    0   10   19    4.936281   -0.000000
    0    0    0   11   19   -1.748981    0.000000
